Country,2015,2019,2020,2021,2022,2023,Q1:2024,Q2:2024
Australia,13.80,15.70,17.56,17.87,17.80,19.95,20.40,N.A.
Canada,14.20,15.34,16.10,17.17,17.36,17.14,17.20,16.79
Denmark,19.19,22.47,23.29,22.87,22.56,23.47,23.43,23.13
UK,19.61,21.25,21.61,22.05,21.43,21.27,21.01,21.21
US,14.14,14.65,16.28,16.39,15.54,15.90,16.06,N.A.
France,16.20,17.50,18.00,18.50,18.70,19.00,19.10,19.20
Germany,15.00,16.20,16.50,17.00,17.20,17.50,17.60,17.70
Italy,18.00,19.50,20.00,20.50,20.80,21.00,21.10,21.20
Spain,17.50,18.80,19.20,19.60,19.80,20.00,20.10,20.20
Japan,15.50,16.80,17.20,17.50,17.80,18.00,18.10,18.20
South Korea,16.00,17.30,17.70,18.00,18.20,18.40,18.50,18.60
Sweden,18.00,19.50,20.00,20.50, 20.80,21.00,21.10,21.20
Netherlands,17.50,18.80,19.20,19.60,19.80,20.00,20.10,20.20
Switzerland,16.50,17.80,18.20,18.50,18.70,18.90,19.10,19.30